2026-05-25 15:53:06 | INFO    | aps             | 数据库表已就绪
2026-05-25 15:53:38 | INFO    | aps             | POST   200    18.1ms /api/smart-scheduling/generate
2026-05-25 15:53:38 | INFO    | aps.solve       | 开始排产: strategy=90a48e5ab9ba41b9a78817974a59f635, 可排产订单数=1
2026-05-25 15:53:39 | INFO    | aps.solve       | MRP完成: 缺料DAG节点数=0, 补充订单数=0
2026-05-25 15:53:39 | WARNING | aps.task_gen    | 缺料DAG为空或无节点，跳过任务生成
2026-05-25 15:53:40 | INFO    | aps             | GET    200     2.0ms /api/smart-scheduling/plan/progress?task_id=9ea7a45da2634e5483b2317bb720bc24
2026-05-25 15:54:51 | INFO    | aps             | GET    307     1.0ms /api/processes?page=1&page_size=10
2026-05-25 15:54:51 | INFO    | aps             | GET    307     0.0ms /api/production-resources?page=1&page_size=1000
2026-05-25 15:54:51 | INFO    | aps             | GET    307     0.0ms /api/processes?page=1&page_size=10
2026-05-25 15:54:51 | INFO    | aps             | GET    307     0.0ms /api/production-resources?page=1&page_size=1000
2026-05-25 15:54:52 | INFO    | aps             | GET    200    79.1ms /api/processes/?page=1&page_size=10
2026-05-25 15:54:52 | INFO    | aps             | GET    200   111.3ms /api/production-resources/?page=1&page_size=1000
2026-05-25 15:54:52 | INFO    | aps             | GET    200     7.7ms /api/processes/?page=1&page_size=10
2026-05-25 15:54:52 | INFO    | aps             | GET    200     8.7ms /api/production-resources/?page=1&page_size=1000
2026-05-25 15:54:52 | INFO    | aps             | GET    307     0.0ms /api/process-routes?page=1&page_size=10
2026-05-25 15:54:52 | INFO    | aps             | GET    307     2.0ms /api/materials?page=1&page_size=1000
2026-05-25 15:54:52 | INFO    | aps             | GET    307     0.0ms /api/process-routes?page=1&page_size=10
2026-05-25 15:54:52 | INFO    | aps             | GET    307     1.0ms /api/materials?page=1&page_size=1000
2026-05-25 15:54:52 | INFO    | aps             | GET    200    19.3ms /api/materials/?page=1&page_size=1000
2026-05-25 15:54:52 | INFO    | aps             | GET    200    25.8ms /api/process-routes/?page=1&page_size=10
2026-05-25 15:54:52 | INFO    | aps             | GET    200    10.4ms /api/process-routes/?page=1&page_size=10
2026-05-25 15:54:53 | INFO    | aps             | GET    200    15.5ms /api/materials/?page=1&page_size=1000
2026-05-25 15:54:56 | INFO    | aps             | GET    307     0.0ms /api/processes?page=1&page_size=1000
2026-05-25 15:54:56 | INFO    | aps             | GET    200     5.5ms /api/processes/?page=1&page_size=1000
2026-05-25 15:56:49 | INFO    | aps             | 数据库表已就绪
2026-05-25 15:58:13 | INFO    | aps             | POST   307     1.0ms /api/production-orders
2026-05-25 15:58:13 | INFO    | aps             | OPTIONS 200     1.0ms /api/production-orders/
2026-05-25 15:58:13 | WARNING | aps             | POST   409    37.4ms /api/production-orders/
2026-05-25 15:58:14 | INFO    | aps             | POST   307     1.0ms /api/production-orders
2026-05-25 15:58:14 | WARNING | aps             | POST   409     6.1ms /api/production-orders/
2026-05-25 15:58:14 | INFO    | aps             | POST   307     0.0ms /api/production-orders
2026-05-25 15:58:14 | WARNING | aps             | POST   409     6.1ms /api/production-orders/
2026-05-25 15:58:14 | INFO    | aps             | POST   307     1.0ms /api/production-orders
2026-05-25 15:58:14 | WARNING | aps             | POST   409     6.6ms /api/production-orders/
2026-05-25 15:58:16 | INFO    | aps             | GET    307     1.0ms /api/production-orders?page=1&page_size=10
2026-05-25 15:58:16 | INFO    | aps             | GET    307     1.0ms /api/production-orders?page=1&page_size=10
2026-05-25 15:58:16 | INFO    | aps             | GET    200    22.3ms /api/production-orders/?page=1&page_size=10
2026-05-25 15:58:16 | INFO    | aps             | GET    200    89.9ms /api/production-orders/?page=1&page_size=10
2026-05-25 15:58:18 | INFO    | aps             | GET    307     3.1ms /api/planning-strategies?page=1&page_size=10
2026-05-25 15:58:18 | INFO    | aps             | GET    200     5.1ms /api/planning-strategies/scheduling-rule/options
2026-05-25 15:58:18 | INFO    | aps             | GET    307     4.6ms /api/planning-strategies?page=1&page_size=10
2026-05-25 15:58:18 | INFO    | aps             | GET    200     1.6ms /api/planning-strategies/scheduling-rule/options
2026-05-25 15:58:18 | INFO    | aps             | GET    200    20.5ms /api/planning-strategies/?page=1&page_size=10
2026-05-25 15:58:18 | INFO    | aps             | GET    200     7.1ms /api/planning-strategies/?page=1&page_size=10
2026-05-25 15:58:21 | INFO    | aps             | GET    307     1.0ms /api/planning-strategies?page=1&page_size=100
2026-05-25 15:58:21 | INFO    | aps             | GET    307     1.0ms /api/production-orders?page=1&page_size=1000
2026-05-25 15:58:21 | INFO    | aps             | GET    307     2.0ms /api/planning-strategies?page=1&page_size=100
2026-05-25 15:58:21 | INFO    | aps             | GET    307     1.5ms /api/production-orders?page=1&page_size=1000
2026-05-25 15:58:21 | INFO    | aps             | GET    200    11.9ms /api/planning-strategies/?page=1&page_size=100
2026-05-25 15:58:21 | INFO    | aps             | GET    200    13.4ms /api/production-orders/?page=1&page_size=1000
2026-05-25 15:58:21 | INFO    | aps             | GET    200     9.6ms /api/production-orders/?page=1&page_size=1000
2026-05-25 15:58:21 | INFO    | aps             | GET    200    13.1ms /api/planning-strategies/?page=1&page_size=100
2026-05-25 15:58:24 | INFO    | aps             | POST   200     5.5ms /api/smart-scheduling/generate
2026-05-25 15:58:24 | INFO    | aps.solve       | 开始排产: strategy=90a48e5ab9ba41b9a78817974a59f635, 可排产订单数=1
2026-05-25 15:58:24 | INFO    | aps.mrp         | 处理订单: code=D001 material_code=C001 quantity=10000
2026-05-25 15:58:24 | INFO    | aps.mrp         |   匹配物料: id=fadbc868875f4c2a8f909a960d19f269 code=C001 name=紫晶装备 source=PRODUCED
2026-05-25 15:58:24 | INFO    | aps.mrp         |   BOM子件数=1, 可用库存=1000
2026-05-25 15:58:24 | INFO    | aps.mrp         |   订单物料 C001 加入DAG, 需求量=10000
2026-05-25 15:58:24 | INFO    | aps.solve       | MRP完成: 缺料DAG节点数=1, 补充订单数=1
2026-05-25 15:58:24 | INFO    | aps.task_gen    | 缺料DAG: 1个节点, 0条边
2026-05-25 15:58:24 | INFO    | aps.task_gen    |   DAG节点: material=C001(fadbc868875f4c2a8f909a960d19f269) source=PRODUCED demand=10000.00
2026-05-25 15:58:24 | INFO    | aps.task_gen    | 拓扑排序后物料顺序 (1): ['fadbc868875f4c2a8f909a960d19f269']
2026-05-25 15:58:25 | INFO    | aps.task_gen    | 任务生成完成: 共生成 1 个任务, 1 个订单关联记录
2026-05-25 15:58:26 | INFO    | aps             | GET    200     2.0ms /api/smart-scheduling/plan/progress?task_id=c50f50f745f649c6abd13c38158b5449
2026-05-25 15:58:48 | INFO    | aps             | GET    307     1.0ms /api/production-orders?page=1&page_size=10
2026-05-25 15:58:48 | INFO    | aps             | GET    307     0.5ms /api/production-orders?page=1&page_size=10
2026-05-25 15:58:48 | INFO    | aps             | GET    200     7.8ms /api/production-orders/?page=1&page_size=10
2026-05-25 15:58:48 | INFO    | aps             | GET    200     7.1ms /api/production-orders/?page=1&page_size=10
2026-05-25 15:59:53 | INFO    | aps             | GET    307     1.0ms /api/production-orders?page=1&page_size=10
2026-05-25 15:59:53 | INFO    | aps             | GET    307     1.0ms /api/planning-strategies?page=1&page_size=10
2026-05-25 15:59:53 | INFO    | aps             | GET    200     4.1ms /api/planning-strategies/scheduling-rule/options
2026-05-25 15:59:53 | INFO    | aps             | GET    307     1.5ms /api/planning-strategies?page=1&page_size=10
2026-05-25 15:59:53 | INFO    | aps             | GET    200     1.0ms /api/planning-strategies/scheduling-rule/options
2026-05-25 15:59:53 | INFO    | aps             | GET    200     8.1ms /api/production-orders/?page=1&page_size=10
2026-05-25 15:59:53 | INFO    | aps             | GET    200     8.8ms /api/planning-strategies/?page=1&page_size=10
2026-05-25 15:59:53 | INFO    | aps             | GET    200     8.1ms /api/planning-strategies/?page=1&page_size=10
2026-05-25 15:59:54 | INFO    | aps             | GET    307     1.2ms /api/production-orders?page=1&page_size=10
2026-05-25 15:59:54 | INFO    | aps             | GET    307     1.2ms /api/production-orders?page=1&page_size=10
2026-05-25 15:59:54 | INFO    | aps             | GET    200    11.2ms /api/production-orders/?page=1&page_size=10
2026-05-25 15:59:54 | INFO    | aps             | GET    200     9.3ms /api/production-orders/?page=1&page_size=10
2026-05-25 16:00:35 | INFO    | aps             | GET    307     2.0ms /api/planning-strategies?page=1&page_size=10
2026-05-25 16:00:35 | INFO    | aps             | GET    200     2.1ms /api/planning-strategies/scheduling-rule/options
2026-05-25 16:00:35 | INFO    | aps             | GET    307     0.0ms /api/planning-strategies?page=1&page_size=10
2026-05-25 16:00:35 | INFO    | aps             | GET    200     2.3ms /api/planning-strategies/scheduling-rule/options
2026-05-25 16:00:35 | INFO    | aps             | GET    200    14.0ms /api/planning-strategies/?page=1&page_size=10
2026-05-25 16:00:35 | INFO    | aps             | GET    200     8.2ms /api/planning-strategies/?page=1&page_size=10
2026-05-25 16:00:36 | INFO    | aps             | GET    307     1.0ms /api/production-orders?page=1&page_size=10
2026-05-25 16:00:36 | INFO    | aps             | GET    307     2.0ms /api/materials?page=1&page_size=1000
